"","options"
"1","butter, salted"
"2","butter, whipped, with salt"
"3","butter oil, anhydrous"
"4","cheese, blue"
"5","cheese, brick"
"6","cheese, brie"
"7","cheese, camembert"
"8","cheese, caraway"
"9","cheese, cheddar"
"10","cheese, cheshire"
"11","cheese, colby"
"12","cheese, cottage, creamed, large or small curd"
"13","cheese, cottage, creamed, with fruit"
"14","cheese, cottage, nonfat, uncreamed, dry, large or small curd"
"15","cheese, cottage, lowfat, 2% milkfat"
"16","cheese, cottage, lowfat, 1% milkfat"
"17","cheese, cream"
"18","cheese, edam"
"19","cheese, feta"
"20","cheese, fontina"
"21","cheese, gjetost"
"22","cheese, gouda"
"23","cheese, gruyere"
"24","cheese, limburger"
"25","cheese, monterey"
"26","cheese, mozzarella, whole milk"
"27","cheese, mozzarella, whole milk, low moisture"
"28","cheese, mozzarella, part skim milk"
"29","cheese, mozzarella, low moisture, part-skim"
"30","cheese, muenster"
"31","cheese, neufchatel"
"32","cheese, parmesan, grated"
"33","cheese, parmesan, hard"
"34","cheese, port de salut"
"35","cheese, provolone"
"36","cheese, ricotta, whole milk"
"37","cheese, ricotta, part skim milk"
"38","cheese, romano"
"39","cheese, roquefort"
"40","cheese, swiss"
"41","cheese, tilsit"
"42","cheese, pasteurized process, american, fortified with vitamin d"
"43","cheese, pasteurized process, pimento"
"44","cheese, pasteurized process, swiss"
"45","cheese food, cold pack, american"
"46","cheese food, pasteurized process, american, vitamin d fortified"
"47","cheese food, pasteurized process, swiss"
"48","cheese spread, pasteurized process, american"
"49","cream, fluid, half and half"
"50","cream, fluid, light (coffee cream or table cream)"
"51","cream, fluid, light whipping"
"52","cream, fluid, heavy whipping"
"53","cream, whipped, cream topping, pressurized"
"54","cream, sour, reduced fat, cultured"
"55","cream, sour, cultured"
"56","eggnog"
"57","sour dressing, non-butterfat, cultured, filled cream-type"
"58","milk, filled, fluid, with blend of hydrogenated vegetable oils"
"59","milk, filled, fluid, with lauric acid oil"
"60","cheese, american, nonfat or fat free"
"61","cream substitute, liquid, with hydrogenated vegetable oil and soy protein"
"62","cream substitute, liquid, with lauric acid oil and sodium caseinate"
"63","cream substitute, powdered"
"64","dessert topping, powdered"
"65","dessert topping, powdered, 1.5 ounce prepared with 1/2 cup milk"
"66","dessert topping, pressurized"
"67","dessert topping, semi solid, frozen"
